lemma,token,tag,morph,picto,picto_bw
,am besten,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Eigenschaften_Emotionen\ambesten.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Eigenschaften_Emotionen\ambestenSW.png
,am längsten,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zeit\laengste_amlaengsten.png,
,am schlechtesten,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Eigenschaften_Emotionen\amschlechtesten.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Eigenschaften_Emotionen\amschlechtestenSW.png
,auf der Stelle,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zeit\jetztsofort.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zeit\jetztsofortSW.png
,Ballerinas,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleidung_Accessoires\ballerinas.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleidung_Accessoires\ballerinasSW.png
,bis später,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\bisspaeter.png,
,bitte,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\bitte_bitten.png,
,da ist,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\daistFB.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\daist.png
,danke,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\danke.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\dankeSW.png
,das,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Artikel\das.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Artikel\dasSW.png
,das ist,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\daistFB.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\daist.png
,dem,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Artikel\dem.png,
,den,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Artikel\den.png,
,denen,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\denen.png,
,der,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Artikel\der.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Artikel\derSW.png
,des,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Artikel\des.png,
,dessen,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\dessen.png,
,dich,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\dich.png,
,die,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Artikel\die.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Artikel\dieSW.png
,diese,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\diese2.png,
,diesem,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\diesem.png,
,diesen,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\diesen.png,
,dieser,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\dieser2.png,
,dieses,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\dieses2.png,
,dir,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\dir.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\dirSW.png
,du,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\du.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\duSW.png
,ein,,{'Gender': 'Masc'},METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Artikel\ein.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Artikel\einSW.png
,ein,,{'Gender': 'Neut'},METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Artikel\ein2.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Artikel\einSW2.png
,einander,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\einander.png,
,eine,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Artikel\eine.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Artikel\eineSW.png
,einem,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Artikel\einem.png,
,einen,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Artikel\einen.png,
,einer,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Artikel\einer.png,
,eines,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Artikel\eines.png,
,er,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\er.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\erSW.png
,es,,{'Case': 'Nom'},METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\es.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\esSW.png
,es,,{'Case': 'Acc'},METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\es_ak.png,
,euch,,{'Case': 'Dat'},METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\euch.png,
,euch,,{'Case': 'Acc'},METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\euch_ak1.png,
,euer,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\euer.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\euerSW.png
,eure,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\eure.png,
,gib mir,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\gib_mir.png,
,gibt es,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fragen\gibtes.png,
,gute Nacht,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\gutenacht.png,
,guten Abend,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\gutenabend.png,
,guten Morgen,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\gutenmorgen2.png,
,guten Tag,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\gutentag.png,
,Halt !,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\halt_floskel.png,
,ich,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\ich.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\ichSW.png
,ich bin,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\ichbinmaedchen.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\ichbin.png
,ich spreche,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\ichspreche.png,
,ich war,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\ichwar.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\ichwarSW.png
,ihm,,{'Gender': 'Neut'},METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\ihm_baby.png,
,ihm,,{'Gender': 'Masc'},METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\ihm_junge.png,
,ihn,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\ihn.png,
,ihnen,,"{'Person': '3', 'Number': 'Plur'}",METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\ihnen.png,
,Ihnen,,"{'Person': '2', 'Number': 'Sing'}",METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\ihnen_direrwachsen.png,
,ihr,PPER,"{'Case': 'Nom', 'Person': '2', 'Number': 'Plur'}",METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\ihr.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\ihrSW.png
,Ihr,PPOSAT,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\ihr_deinerwachsen.png,
,Ihre,PPOSAT,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\ihr_deinerwachsen.png,
